name,subCenterName,state,cbsa,long,lat
Atlanta,none,GA,12060,-84.3898432,33.75435
Austin,none,TX,12420,-97.7430705,30.26708
Baltimore,none,MD,12580,-76.6151431,39.28953
Birmingham,none,AL,13820,-86.8068438,33.51629
Boston,Lowell,MA,14460,-71.3085337,42.64443
Boston,Cambridge,MA,14460,-71.1201127,42.37257
Boston,none,MA,14460,-71.0568,42.3589
Buffalo,none,NY,15380,-78.8781053,42.88648
Charlotte,none,NC,16740,-80.8430532,35.2272
Chicago,O'Hare,IL,16980,-87.9045383,41.97762
Chicago,Gary,IL,16980,-87.3461128,41.59368
Chicago,none,IL,16980,-87.6277998,41.88201
Cincinnati,none,OH,17140,-84.5132807,39.10242
Cleveland,none,OH,17460,-81.6936791,41.49963
Columbus,none,OH,18140,-82.9978661,39.96256
Dallas,Fort Worth,TX,19100,-97.3311634,32.75451
Dallas,Denton,TX,19100,-97.1324304,33.21453
Dallas,none,TX,19100,-96.7968838,32.78035
Denver,none,CO,19740,-104.9927089,39.74748
Detroit,none,MI,19820,-83.0466576,42.33171
Hartford,none,CT,25540,-72.6715167,41.76576
Houston,none,TX,26420,-95.3661101,29.75554
Indianapolis,none,IN,26900,-86.1580448,39.76853
Jacksonville,none,FL,27260,-81.6574582,30.32778
Kansas City,none,MO,28140,-94.5830468,39.10228
Las Vegas,none,NV,29820,-115.1406436,36.1692
Los Angeles,none,CA,31100,-118.2539206,34.05018
Louisville,none,KY,31140,-85.753512,38.2549
Memphis,none,TN,32820,-90.0507322,35.14684
Miami,West Palm Beach,FL,33100,-80.0549292,26.71045
Miami,Fort Lauderdale,FL,33100,-80.143551,26.12228
Miami,none,FL,33100,-80.1936186,25.77421
Milwaukee,none,WI,33340,-87.9078143,43.03868
Minneapolis,St. Paul,MN,33460,-93.0920672,44.94683
Minneapolis,none,MN,33460,-93.2716949,44.9753
Nashville,none,TN,34980,-86.7784113,36.16057
New Orleans,none,LA,35380,-90.0699984,29.95372
New York,none,NY,35620,-73.9907203,40.73477
Oklahoma City,none,OK,36420,-97.5144463,35.4677
Orlando,none,FL,36740,-81.3789674,28.5384
Philadelphia,Wilmington,PA,37980,-75.5485783,39.73932
Philadelphia,none,PA,37980,-75.1635601,39.9524
Phoenix,none,AZ,38060,-112.0737878,33.4482
Pittsburgh,none,PA,38300,-79.9967917,40.43938
Portland,none,OR,38900,-122.6765053,45.52304
Providence,none,RI,39300,-71.4134037,41.82403
Raleigh,none,NC,39580,-78.6402465,35.77694
Richmond,none,VA,40060,-77.4363176,37.5382
Riverside,none,CA,40140,-117.2895995,34.10834
Sacramento,none,CA,40900,-121.4962758,38.57728
Salt Lake City,none,UT,41620,-111.8881853,40.76284
San Antonio,none,TX,41700,-98.4938274,29.42502
San Diego,none,CA,41740,-117.1638221,32.71568
San Francisco,Oakland,CA,41860,-122.2710995,37.80473
San Francisco,none,CA,41860,-122.3965103,37.79312
San Jose,none,CA,41940,-121.8942626,37.33843
Seattle,Tacoma,WA,42660,-122.439844,47.25534
Seattle,Everett,WA,42660,-122.2013404,47.97913
Seattle,Bellevue,WA,42660,-122.2016555,47.61745
Seattle,none,WA,42660,-122.3348794,47.60824
St. Louis,none,MO,41180,-90.1919348,38.62678
Tampa,St. Petersburg,FL,45300,-82.6355138,27.76944
Tampa,none,FL,45300,-82.4577262,27.94947
Virginia Beach,none,VA,47260,-76.2897239,36.84955
Washington,Arlington,DC,47900,-77.1076626,38.88122
Washington,none,DC,47900,-77.0365086,38.90732
