"code","subcode","pop2010","city","ST"
35620,NA,18897109,"New York-Northern New Jersey-Long Island"," NY-NJ-PA"
31100,NA,12828837,"Los Angeles-Long Beach-Santa Ana"," CA"
16980,NA,9461105,"Chicago-Joliet-Naperville"," IL-IN-WI"
19100,NA,6371773,"Dallas-Fort Worth-Arlington"," TX"
37980,NA,5965343,"Philadelphia-Camden-Wilmington"," PA-NJ-DE-MD"
26420,NA,5946800,"Houston-Sugar Land-Baytown"," TX"
47900,NA,5582170,"Washington-Arlington-Alexandria"," DC-VA-MD-WV"
33100,NA,5564635,"Miami-Fort Lauderdale-Pompano Beach"," FL"
12060,NA,5268860,"Atlanta-Sandy Springs-Marietta"," GA"
14460,NA,4552402,"Boston-Cambridge-Quincy"," MA-NH"
41860,NA,4335391,"San Francisco-Oakland-Fremont"," CA"
19820,NA,4296250,"Detroit-Warren-Livonia"," MI"
40140,NA,4224851,"Riverside-San Bernardino-Ontario"," CA"
38060,NA,4192887,"Phoenix-Mesa-Glendale"," AZ"
42660,NA,3439809,"Seattle-Tacoma-Bellevue"," WA"
33460,NA,3279833,"Minneapolis-St. Paul-Bloomington"," MN-WI"
41740,NA,3095313,"San Diego-Carlsbad-San Marcos"," CA"
41180,NA,2812896,"St. Louis"," MO-IL"
45300,NA,2783243,"Tampa-St. Petersburg-Clearwater"," FL"
12580,NA,2710489,"Baltimore-Towson"," MD"
19740,NA,2543482,"Denver-Aurora-Broomfield"," CO"
38300,NA,2356285,"Pittsburgh"," PA"
38900,NA,2226009,"Portland-Vancouver-Hillsboro"," OR-WA"
40900,NA,2149127,"Sacramento--Arden-Arcade--Roseville"," CA"
41700,NA,2142508,"San Antonio-New Braunfels"," TX"
36740,NA,2134411,"Orlando-Kissimmee-Sanford"," FL"
17140,NA,2130151,"Cincinnati-Middletown"," OH-KY-IN"
17460,NA,2077240,"Cleveland-Elyria-Mentor"," OH"
28140,NA,2035334,"Kansas City"," MO-KS"
29820,NA,1951269,"Las Vegas-Paradise"," NV"
41940,NA,1836911,"San Jose-Sunnyvale-Santa Clara"," CA"
18140,NA,1836536,"Columbus"," OH"
16740,NA,1758038,"Charlotte-Gastonia-Rock Hill"," NC-SC"
26900,NA,1756241,"Indianapolis-Carmel"," IN"
12420,NA,1716289,"Austin-Round Rock-San Marcos"," TX"
47260,NA,1671683,"Virginia Beach-Norfolk-Newport News"," VA-NC"
39300,NA,1600852,"Providence-New Bedford-Fall River"," RI-MA"
34980,NA,1589934,"Nashville-Davidson--Murfreesboro--Franklin"," TN"
33340,NA,1555908,"Milwaukee-Waukesha-West Allis"," WI"
27260,NA,1345596,"Jacksonville"," FL"
32820,NA,1316100,"Memphis"," TN-MS-AR"
31140,NA,1283566,"Louisville/Jefferson County"," KY-IN"
40060,NA,1258251,"Richmond"," VA"
36420,NA,1252987,"Oklahoma City"," OK"
25540,NA,1212381,"Hartford-West Hartford-East Hartford"," CT"
35380,NA,1167764,"New Orleans-Metairie-Kenner"," LA"
15380,NA,1135509,"Buffalo-Niagara Falls"," NY"
39580,NA,1130490,"Raleigh-Cary"," NC"
13820,NA,1128047,"Birmingham-Hoover"," AL"
41620,NA,1124197,"Salt Lake City"," UT"
