"cbsa","city","state","long","lat"
35620,"New York","NY",-74.0059413,40.7127837
31100,"Los Angeles","CA",-118.2436849,34.0522342
31100,"Long Beach","CA",-118.1937395,33.7700504
31100,"Santa Ana","CA",-117.8678338,33.7455731
35620,"White Plains","NY",-73.762909699999,41.0339862
35620,"Wayne","NJ",-74.27654,40.9253725
31100,"Glendale","CA",-118.255075,34.1425078
16980,"Chicago","IL",-87.6297982,41.8781136
16980,"Joliet","IL",-88.0817251,41.525031
16980,"Naperville","IL",-88.153535199999,41.7508391
31100,"Anaheim","CA",-117.9145036,33.8352932
31100,"Irvine","CA",-117.7946942,33.6839473
35620,"Nassau","NY",-73.6101159,42.5159145
35620,"New Brunswick","NJ",-74.4518188,40.4862157
35620,"Union","NJ",-74.263163499999,40.6975898
16980,"Gary","IN",-87.3464271,41.5933696
